FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,earth,fence,fountain,grass,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,streetlight,tree,van,wall,water,windowpane
2940,47.600878,-122.318167,5.185038359,1,3.838643371,4.088684749,5.073880792,5.127674258,0,0,0,0,0,0.098812,0,0.05127,0,0,0,0.001156,0.018695,0,0.029004,0,0,0,0.000531,0,0,0,0.337227,0,0.000855,0,0.358188,0,0.000176,0.103277,0,0,0,0
2941,47.656067,-122.360823,8.10441783,1,6.981843097,6.207076685,5.890737316,5.937715666,0,0,0,0,0,0.054344,0,0.002441,0,0,0,0.006133,0.013156,0,0.097059,0,0,0,0,0,0.016703,0,0.306898,0,0.002672,0.001793,0.13709,0,0.000125,0.35334,0,0.003336,0,0
2942,47.656065,-122.361223,5.821203963,1,4.071028891,4.330320904,5.683775236,5.232272257,0,0,0,0,0,0.112215,0,0.114895,0,0,0,0,0.000762,0,0.002422,0,0,0,0,0,0.000375,0,0.32677,0,0.000797,0,0.316504,0,0,0.110441,0,0.01482,0,0
2943,47.656064,-122.361623,4.083485813,1,2.713828937,4.115775892,5.158513915,4.993314355,0,0,0,0,0,0.067113,0,0.068984,0,0,0,0.002469,0,0,0.003531,0,0,0,0,0,0,0,0.368191,0,0,0,0.38741,0,0.000293,0.075551,0.015891,0,0,0
2944,47.615278,-122.311462,6.770427484,1,5.823912299,5.210657824,5.737833707,6.289466874,0,0,0,0,0,0.120324,0,0.043668,0,0,0,0,0.002457,0,0,0,0,0,0,0,0,0,0.383262,0,0.038555,0,0.213875,0,0.000203,0.189746,0.002512,0.00166,0,0
2945,47.615678,-122.31146,7.562669474,1,8.166609569,6.754150585,7.213391968,6.240295031,0,0,0,0,0,0.122543,0,0.073977,0,0,0,0.05618,0,0,0.010078,0,0,0,0.000805,0,0.076812,0,0.10816,0,0.158211,1.20E-05,0.027477,0,0,0.36359,0,0,0,0
2946,47.616078,-122.311458,7.330644351,1,6.430855316,5.661591281,7.029221396,5.675034507,0,0,0,0,0,0.094262,0,0.059648,0,0,0,0,0,0,0.120445,0,0,0,0,0,0.046422,0,0.210688,0,0.001508,0,0.180832,0,0,0.260355,0,0.007113,0,0
2947,47.633529,-122.359666,7.169569473,1,6.515359141,6.003979474,5.135880374,5.561162871,0,0,0,0,0,0.000613,0,0.014516,0,0,0,0.041539,0.002656,0,0.067074,0,0,0,0,0,0.001402,0,0.326008,0,0.004785,0.003199,0.212133,0,0,0.324883,0,0.001191,0,0
2948,47.633929,-122.359661,5.482415754,1,4.974877241,4.165629323,5.469543854,5.005391649,0.009594,0,0,0,0,0.155949,0,0.001332,0,0,0,0.000254,0,0,0.134129,0,0,0,0,0,0.003945,0,0.283809,0,0,0,0.297234,0,0,0.106914,0,0.00684,0,0
2949,47.634329,-122.359656,7.022167881,1,5.338015302,5.714965222,5.602602919,5.586611456,0,0,0,0,0,0.047496,0,0.173457,0,0,0,0,0.022934,0,0.027633,0,0,0,0,0,0.032555,0,0.171441,0,0.008492,0.001391,0.280504,0,0,0.217457,0.001797,0.001164,0,0
295,47.635605,-122.31278,4.280596548,1,4.303414411,4.114989605,4.647237392,4.784549689,0,0,0,0,0,3.90E-05,0,0.059207,0,0,0,0.000207,0.000203,0,0.003543,0,0,0,0,0,0.015727,0,0.357855,0,0,0,0.377992,0,0,0.185227,0,0,0,0
2950,47.634729,-122.359651,6.597485201,1,5.710859883,5.459284138,6.150589599,4.85313147,0,0,0,0,0,0.016062,0,0.009508,0,0,0,0,0.004492,0,0.11991,0,0,0,0,0,0.006664,0,0.266129,0,0.059621,0,0.222527,0,0,0.244426,0,0.020543,0,0
2951,47.611313,-122.342296,6.849499608,1,6.15222108,5.579777537,5.248597754,5.460231194,0,0,0,0,0,0.436266,0,0.135703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283172,0,0.003664,0.000793,0.057641,0,0,0.082762,0,0,0,0
2952,47.654514,-122.322601,6.229029391,1,4.331963001,3.796926592,5.68497561,4.461697723,0,0,0,0,0.012844,0.051582,0,0.004066,0,0,0,0.146387,0,0,0,0,0,0,0,0,0.00125,0,0.322523,0,0.002074,0.00466,0.308258,0,2.30E-05,0.089516,0,2.30E-05,0,0
2953,47.650417,-122.36088,7.338385795,1,6.789425602,6.135252918,5.432558468,5.712776053,0,0,0,0,0,0.027418,0,0.001262,0,0,0,0,0,0,0.01625,0,0,0,0,0,0.00277,0,0.387695,0,0.064629,0.003285,0.16798,0,0.000598,0.324594,0,0.002828,0,0
2954,47.650817,-122.360877,3.78495769,1,2.967911385,2.917566864,5.120263189,3.821169772,0,0,0,0,0,0.020391,0,0.019719,0,0,0,0,0,0,0.001285,0,0,0,0.000219,0,0.002324,0,0.426215,0,0.002172,0.000922,0.389121,0,0.000812,0.07627,0.000234,0,0,0
2955,47.61516,-122.339614,6.778020838,1,5.306040881,5.821959295,5.415124921,5.345281228,0,0,0,0,0,0.30125,0,0.014477,0,0,0,0,0,0,0,0,0,0,0.000434,0,0.004867,0,0.405672,0,0.043188,0.000113,0.128148,0,0.001551,0.100148,0,0.000152,0,0
2956,47.615405,-122.339298,6.173955031,1,6.237866849,5.76944996,5.460272235,5.881858178,0,0,0,0,0,0.451352,0,0.000328,0,0,0,0,0.01175,0,2.70E-05,0,0,0,0,0,0.031293,0,0.331328,0,0.057219,0.000703,0.065645,0,0,0.040262,0,0.004812,0,0
2957,47.655578,-122.357182,5.411424605,1,4.761904762,4.214286803,6.07147884,4.810429607,0,0,0,0,0.001199,0.02993,0,0.091473,0,0,0,0.011797,0,0,0.034438,0,0,0,0,0,0.060438,0,0.295945,0,0.000547,0.000531,0.307125,0,0,0.150605,0,0.000203,0,0
2958,47.655577,-122.357582,5.501966244,1,5.195272354,3.891113606,5.687778924,4.508281574,0,0,0,0,0,0.18209,0,0.00475,0,0,0,0.030516,0.015781,0,0.000406,0,0,0,0,0,0.091328,0,0.298148,0,0,0,0.276715,0,0,0.075133,0,0.025133,0,0
2959,47.655576,-122.357982,8.467007536,1,6.986410871,6.190072035,5.921276927,5.49581608,0,0,0,0,0,0.025117,0,0.004672,0,0,0,0.07407,0.000309,0,0.009863,0,0,0,0,0,0.042887,0,0.289473,0,0.005246,0,0.166879,0,0,0.376555,0,0.004773,0,0
296,47.634996,-122.312867,7.910462048,1,6.030604088,5.981721364,5.277688787,5.779632505,0,0,0,0,0,0,0,0.076859,0,0,0,0.012395,0,0,0,0,0,0,0,0,0.066027,0,0.250836,0,0.019672,0,0.208008,0,0,0.334125,0,0.032078,0,0
2960,47.655575,-122.358382,7.947891679,1,6.610711431,6.098966858,5.880446279,5.594806763,0,0,0,0,0,0.052461,0,0.086133,0,0,0,0.000527,0,0,0.099852,0,0,0,0,0,0,0,0.206613,0,0,0,0.203645,0,0,0.34991,0,0.000859,0,0
2961,47.607979,-122.333104,6.606673831,1,6.145940391,6.440089746,5.280237151,5.876682195,0.000219,0,0,0,0,0.498531,0,0.028812,0,0,0,0,0,0,0,0,0,0,0.009383,0,0,0,0.311633,0,0.040965,0.002734,0.02141,0,0.003754,0.080969,0,0,0,0
2962,47.608274,-122.333374,7.003568547,1,6.18076967,6.957509296,6.720321612,5.042054865,0,0,0,0,0,0.352648,0,0.002363,0,0,0,0,0,0,0,0,0,0,3.90E-05,0,0.000293,0,0.236145,0,0.138582,0,0.009625,0,0.002348,0.255227,0,0.00273,0,0
2963,47.649202,-122.337532,4.661532677,1,4.625442503,3.9907569,5.149612428,4.389233954,0,0,0,0,0,0.021359,0,0.062914,0,0,0,0.000586,0.003434,0,0.007082,0,0,0,0,0,0.000879,0,0.373695,0,0.013297,2.30E-05,0.346906,0,0,0.166582,0,0.003242,0,0
2964,47.649601,-122.337527,8.217744825,1,6.70891858,6.576618051,6.36772259,6.365381297,0.005898,0,0,0,0,0.024574,0,0.00302,0,0,0,0,0,0,0.121316,0,0,0,0.000836,0,0.020762,0,0.032504,0,0.002754,0,0.082922,0,0,0.430781,0.000707,0,0,0
2965,47.650001,-122.337523,6.205900115,1,5.327166838,5.22543758,6.101118122,4.273205659,0,0,0,0,0,0.005863,0,0.027043,0,0,0,1.20E-05,0.000258,0,0.100352,0,0,0,0,0,0.056355,0,0.257242,0,0.008094,0,0.242844,0,0,0.232152,0,4.00E-06,0,0
2966,47.632313,-122.36838,5.250026661,1,3.422975905,3.998611588,5.929087757,4.657306763,0,0,0,0,0,0.073363,0,0.068887,0,0,0,0,0.01841,0,0.02459,0,0,0,0,0,0.00034,0,0.341004,0,0.002543,0,0.34166,0,0,0.113664,0,0.015539,0,0
2967,47.632313,-122.36878,5.9851181,1,5.143884892,5.225721995,5.531837076,5.567417184,0,0,0,0,0,0.007473,0,0.039363,0,0,0,0.008215,0,0,0.010516,0,0,0.003031,0,0,0,0,0.34409,0,0.012125,0,0.326879,0,0,0.234285,0,0.014023,0,0
2968,47.655988,-122.313268,5.891566131,1,4.409044193,4.406324988,5.266147345,5.078933747,0,0,0,0,0,0.133164,0,0.012477,0,0,0,0,0.00682,0,0.005797,0,0,0,0,0,0.037438,0,0.40193,0,0.006133,0.010824,0.287254,0,0,0.092395,0,0.000105,0,0
2969,47.655983,-122.312868,9.116503014,1,6.641543908,6.486526687,5.943775279,5.754399586,0,0,0,0,0,0.044645,0,0.025316,0,0,0,0.199949,0.001031,0,0.048379,0,0,0.00243,0,0,0.000512,0,0.201047,0,8.00E-06,0,0.140938,0,0.004223,0.330824,0,5.10E-05,0,0
297,47.634623,-122.313011,8.246958493,1,6.864222907,6.279027278,4.74996905,5.711913388,0,0,0,0,0,0,0,0.021914,0,0,0,0.047469,0.031195,0,0,0,0,0,0,0,0,0,0.382859,0,0.001453,0,0.124004,0,0,0.384125,0,0.006891,9.00E-05,0
2970,47.655979,-122.312468,6.921977557,1,4.932054356,5.548980614,6.378466273,6.226492408,0,0,0,0,0,0.119641,0,0.003613,0,0,0,0.036125,0,0,0.029707,0,0,0.019617,0.000402,0,0.027148,0,0.354254,0,0.002242,0,0.177176,0,0.001621,0.228453,0,0,0,0
2971,47.579578,-122.308744,6.485443024,1,4.174374786,4.503475919,5.748808498,5.303873361,0,0,0,0,0,0.080891,0,0.089441,0,0,0,0.108609,0,0,0,0,0,0,0,0,0.009848,0,0.215488,0,0,0.003785,0.359148,0,0,0.125492,0,0,0,0
2972,47.579576,-122.308344,7.355111102,1,5.618933425,4.714401588,6.42044981,5.701345756,0,0,0,0,0,0.13727,0,0.03518,0,0,0,0.126438,0,0,0.014723,0,0,0,0,0,0,0,0.201453,0,4.30E-05,0,0.26875,0,0.000102,0.149547,0,0.04143,0,0
2973,47.6197,-122.33717,6.926324408,1,6.61356629,4.838092843,6.089211143,4.920203589,0,0,0,0,0,0.287715,0,0.251863,0,0,0,0,0,0,0,0,0,0,0.000344,0,1.20E-05,0,0.268629,0,0.000176,0,0.14277,0,0,0.048184,0.000309,0,0,0
2974,47.6201,-122.337167,6.861217418,1,5.039968026,4.458149642,5.707468981,5.476621808,0,0,0,0,0,0.338816,0,0.06152,0,0,0,0,0,0,0,0,0,0,0.005918,0,0.001281,0,0.373445,0,0.017504,0.00041,0.178871,0,0,0.020113,0.000539,0,0,0
2975,47.6205,-122.337164,6.598549361,1,4.879524951,4.857780985,5.703826785,5.80615942,0,0,0,0,0,0.368078,0,0.005879,0,0,0,0,0.001969,0,0,0,0,0,0,0,2.00E-05,0,0.371121,0,0.037254,0.001367,0.165074,0,0,0.049156,0,0,0,0
