FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,desk,earth,fence,fountain,grass,lake,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
73,42.340599,-71.093452,5.932701702,1,6.522040082,6.059495643,6.506111107,5.924165255,0,0,0,0,0,0.022121,0,0.019879,0,0,0,0,0,0,0,0.188148,0,0,0,0,0,0,0,0,0.215195,0,0.041602,0,0.196754,0,0,0,0.316301,0,0,0,0
75,42.340599,-71.094582,7.630281702,1,6.734249674,6.93779214,5.225611812,6.400634664,0,0,0,0,0,0.00082,0,0.003398,0,0,0,0,0.11282,0.000293,0,0.015918,0,0,0,0,0,0,0,0,0.306992,0,0,0.001293,0.00834,0,0,0,0.549094,0,0,0,0
76,42.340599,-71.094955,6.002931702,1,6.214748148,5.640833285,5.611122194,5.992531611,0,0,0,0,0,0.001227,0,0.006922,0,0,0,0,0.019094,0.000512,0,0.138258,0,0,0,0,0,0,0,0,0.278531,0,4.70E-05,0.004176,0.210949,0,0,0,0.339672,0,0.000129,0,0
77,42.340599,-71.097954,5.869022128,1,4.929551551,5.657568238,4.969335311,5.765871232,0,0,0,0,0,0,0,0.001004,0,0,0,0,0.018207,0.004254,0,0.053344,0,0,0,0,0,0,0,0,0.263895,0,0.061059,0.055766,0.233293,0,0,0,0.307785,0,0.001395,0,0
78,42.340599,-71.098328,5.083244894,1,2.7141554,5.776444111,3.205542555,5.770524557,0,0,0,0,0,0.008941,0,0.008305,0,0,0,0,0.003094,0,0,0.084477,0,0,0,0,0,0,0,0,0.348625,0,0.022438,0.001039,0.312656,0,0,0.00159,0.208836,0,0,0,0
79,42.340599,-71.099083,6.270835532,1,4.74259772,5.443764787,4.942769375,5.821099047,0,0,0,0,0,0.0005,0,0.010949,0,0,0,0,0.00802,0,0,0.154914,0,0,0,0,0,0,2.30E-05,0,0.275199,0,0.008742,0.003488,0.284535,0,0,0.000895,0.249812,0,0,0,0
80,42.340599,-71.099457,6.309614468,1,5.909818638,5.418085291,4.988902522,5.724935598,0,0,0,0,0,0.003824,0,0.009508,0,0,0,0,0.087238,0.000551,0,0.082223,0,0,0,0,0,0,0,0,0.266062,0,0.003816,0,0.23927,0,0,0,0.306469,0,0,0,0
82,42.340599,-71.100578,6.13761383,1,5.747150739,5.963125397,6.010730431,6.072704618,0,0,0,0,0,0.038316,0,0.005227,0,0,0,0,0,0,0,0.153516,0,0,0,0,0.000828,0,0,0,0.227719,0,0.042621,0,0.198734,0,0,0,0.293848,0,0.000684,0,0
84,42.340599,-71.101707,6.43183766,1,4.83256692,4.257025795,6.857185754,6.388654965,0,0,0,0,0,0.127426,0,0.039145,0,0,0,0,0,0,0,0.022438,0,0,0,0,0.001,0,0.020574,8.00E-06,0.37193,0,0.005465,0,0.182203,0,0,0.00025,0.22832,0,0.00059,0,0
86,42.340599,-71.105087,6.101035745,1,6.530271265,6.004097178,6.080641395,6.077383843,0,0,0,0,0,0.056758,0,0.080832,0,0,0,0,0.000207,0,0,0.052648,0,0,0,0,0,0,0.003496,0.017715,0.263285,0,0.050211,0.000254,0.171703,0,0,0.00059,0.296285,0,0.005883,0,0
87,42.340599,-71.105835,6.273575745,1,6.087395562,5.873679958,5.093384314,6.445542674,8.00E-06,0,0,0,0,0.058355,0,0.054145,0,0,0,0,0,0.034207,0,0.000355,0,0,0,0,0.000293,0,0.016934,0,0.265332,0,0.081289,0.015242,0.227719,0,0,0.000793,0.244953,0,0,0,0
89,42.340599,-71.106964,6.12268,1,4.74943815,4.43735934,5.691118385,5.364760566,0,0,0,0,0,0.231074,0,0.026395,0,0,0,0,0.00077,0.002531,0,0.000617,0,0,0,0,0,0,0.006695,0.000129,0.302762,0,0.05768,0,0.27125,0,0,0,0.089105,0,0.004957,0,0
90,42.340599,-71.108086,4.731526809,1,5.835240809,5.493681112,5.224686689,6.272702108,0,0,0,0,0,0.080453,0,0.009938,0,0,0,0,0.018984,0.006367,0,0.001441,0,0,0,0,0.003613,0,0.059699,0,0.247586,0,0.056574,0.00125,0.26109,0,0,0,0.236508,0,0.001402,0,0
92,42.340599,-71.109215,6.159250426,1,6.890558153,5.592648162,5.33989043,6.204979727,0,0,0,0,0,0.066219,0,0.02416,0,0,0,0,0.036855,0.019164,0,0.000312,0,0,0,0,0,0,0,0,0.285574,0,0.01007,0,0.167547,0,0,0.000238,0.389102,0.000656,0,0,0
93,42.340599,-71.109589,5.282017234,1,7.079183746,6.839979226,4.643638365,6.390123704,0,0,0,0,0,0.065195,0,0.129148,0,0,0,0,0.089172,0,0,0.004332,0,0,0,0,2.70E-05,0,0.06182,0,0.156887,0,1.60E-05,0,0.106602,0,0,0,0.386801,0,0,0,0
94,42.340599,-71.110336,7.065064894,1,7.320018309,6.93779214,5.380038344,6.545739435,0,0,0,0,0,0.011473,0,0.004227,0,0,0,0,0.008262,0.001438,0,0.003352,0,0,0,0,0,0,0,0,0.36802,0,0.022207,0,0.011895,0,0,0,0.543602,0,0.025527,0,0
97,42.340599,-71.111839,8.186926383,1,4.847130191,5.221016793,4.999004524,6.305189813,0,0,0,0,0,0.008414,0,0.000129,0,0,0,0,0.000727,0,0,0.000852,0,0,0,0,0,0,0.092465,0,0.269176,0,0.080344,0,0.254883,0,0,0,0.234934,0,0.048781,0,0
98,42.340599,-71.112595,6.785224681,1,7.026312331,6.885279012,5.435846164,6.335901795,3.10E-05,0,0,0,0,0,0,0.010719,0,0,0,0,0,0,0,0.042293,0,0,0,0,0,0,0.00591,0,0.223879,0,0.07384,0.008629,0.134461,0,0,0,0.447488,0,0.052684,0,0
99,42.340599,-71.112968,6.110455957,1,7.259626201,6.263488949,5.926656781,6.48765103,0,0,0,0,0,0.040938,0,0.005242,0,0,0,0,0.004762,0,0,0.007242,0,0,0,0,0,0,0.038641,0,0.304555,0,0.055336,0,0.102512,0,0,0,0.42625,0,0.014523,0,0
100,42.340599,-71.113716,6.07674,1,4.794712457,4.584511512,5.719414387,5.871538534,0,0.003293,0,0,0,0.156402,0,0.014922,0,0,0,0,0,0,0,0.022527,0,0,0,0,0,0,0.082129,0,0.253297,0,0.087695,0,0.246504,0,0,0.003199,0.076934,0,0,0,0
101,42.340599,-71.11409,6.522134468,1,7.892740842,7.220266605,6.889740879,6.597654855,0,0,0,0,0,0.100246,0,0.001539,0,0,0,0,0.005094,9.00E-05,0,0.018754,0,0,0,0,3.10E-05,0,0.047367,0,0.274457,0,0.07807,0,0.061852,0,0,0,0.403824,0,0.002086,0,0
103,42.340599,-71.115219,7.24215617,1,7.053087491,6.561544232,6.308658562,6.733302448,0,0,0,0,0,0.10741,0,0.025613,0,0,0,0,0,0,0,0.011004,0,0,0,0,0,0,0.022328,0,0.272891,0,0.098035,0.001031,0.092363,0,0,0,0.369324,0,0,0,0
105,42.340599,-71.116341,6.346164043,1,6.779364424,5.882913036,6.736833565,6.060229287,0.002969,0,0,0,0,0.26882,0,0.066824,0,0,0,0,0,0,0,0.017281,0,0,0,0,0,0,0.108781,0,0.228777,0,0.046688,0,0.11641,0,0,0,0.143449,0,0,0,0
106,42.340599,-71.117096,6.522921277,1,5.26932432,4.679439091,6.261702782,5.948312451,0.001828,0,0,0,0,0.373859,0,0.000191,0,0,0,0,0,0.016758,0,0.012031,0,0,0,0,0,0,0.02816,0,0.282258,0,0.081363,0,0.164727,0,0,0,0.035777,0,0,0,0
107,42.340599,-71.11747,7.817892553,1,5.356735958,6.047954296,6.637683918,5.677839203,0,0,0,0,0,0.418008,0,0.133082,0,0,0,0,8.20E-05,0,0,0.002648,0,0,0,0,0,0,0.021152,0,0.220121,0,0.019656,0,0.124102,0,0,0,0.049391,0,0.002219,0,0
109,42.340599,-71.119347,7.511599574,1,6.491756413,5.882913036,7.033472901,6.099712788,0,0,0,0,0,0.274855,0,0.053637,0,0,0,0,0.021531,0,0,0,0,0,0,0,0,0,0.097379,0,0.193949,0,0.045668,0,0.132574,0,0,0,0.174156,0,0.00625,0,0
110,42.340923,-71.044853,3.67494617,1,3.534118931,3.760459346,5.275602367,4.931746026,0,0,0,0,0,0.122395,0,0.024008,0,0,0,0,0.006574,0.016977,0,0.00352,0,0,0,0,0.000484,0,0,0,0.36202,0,0.000902,0.00123,0.398336,0,0,2.00E-05,0.00284,0,0.056508,0,0
113,42.340923,-71.047859,5.477020213,1,3.33542554,3.705060881,6.174904822,4.919772228,0,0,0,0,0,0.287336,0,0.003684,0,0,0,0,0,0,0,0.004262,0,0,0,0,0,0,0,0,0.260574,0,0.06932,0.008215,0.270793,0,0,0.003793,0.043711,0,0.044527,0,0
114,42.340923,-71.048233,5.414907234,1,3.56965675,3.724392637,5.716436184,5.251128337,0,0,0,0,0,0.109145,0,0.085734,0,0,0,0,0,0.000383,0,0.002238,0,0,0,0,0,0,0.000949,0,0.301715,0,0.05434,8.20E-05,0.385012,0,0,0.000391,0.025828,0,0.028168,0,0
115,42.340923,-71.048981,5.589996809,1,4.147643265,4.231057764,5.358891125,5.195771719,0,0,0,0,0,0.200559,0,0.000496,0,0,0,0,0.01448,0.073129,0,0,0,0,0,0,0,0,0.036484,0,0.279293,0,0.07457,0.000602,0.259387,0,0,0,0.048898,0,8.60E-05,0,0
116,42.340923,-71.049355,5.380829362,1,2.96061078,3.05989959,5.637589489,4.953462284,0,0,0,0,0,0.239562,0,0.005656,0,0,0,0,0,0.005641,0,0,0,0,0,0,0,0,0,0,0.391082,0,0.021484,8.60E-05,0.302496,0,0,0.002043,0.018289,0,2.00E-05,0,0
